"","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","Dollar_val","sub_len_mnth","cluster"
"22524","HIN","Limited","INITIAL_PURCHASE","Web",0,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,1.07142857142857,4
"39615","SVE","Limited","INITIAL_PURCHASE","App",59990000,"GBP","Yes","No","On","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,79.1868,6.5,3
"19334","CHI","Limited","INITIAL_PURCHASE","Web",0,"USD","No","Yes","On","US/Canada","Consumer","Web","Yes","Yes",17,0,0,0,0,0,6.71428571428571,5
"18278","FRA","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",192,163,0,132,0,0,6.5,5
"25871","ENG","Limited","INITIAL_PURCHASE","App",44990000,"USD","No","Yes","On","US/Canada","Consumer","App","Yes","Yes",9,3,0,2,0,44.99,3.39285714285714,3
"14427","ALL","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","Other","Other","Unknown","No","No",11,6,0,2,0,189,1028.75,4
"18787","ENG","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,1.14285714285714,4
"28813","TUR","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,7.03571428571429,2
"8979","ALL","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",135,7,2,6,1,189,1028.32142857143,5
"101","RUS","Limited","RENEWAL","Web",79,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",182,33,0,3,0,79,6.53571428571429,5
