Language,Subscription.Type,Subscription.Event.Type,Purchase.Store,Purchase.Amount,Currency,Demo.User,Free.Trial.User,Auto.Renew,Country,User.Type,Lead.Platform,Email.Subscriber,Push.Notifications,Send.Count,Open.Count,Click.Count,Unique.Open.Count,Unique.Click.Count,Dollar_val,sub_len_mnth,cluster
EBR,Limited,INITIAL_PURCHASE,Web,39,USD,No,No,Off,Other,Consumer,Web,No,Yes,4,3,0,1,0,39,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,0,13.03571429,4
ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,162,1,0,1,0,38.34,3.285714286,2
ESP,Limited,RENEWAL,Web,79,USD,Yes,No,Off,Other,Consumer,App,Yes,Yes,2,0,0,0,0,79,4.035714286,1
DEU,Limited,INITIAL_PURCHASE,Web,38.4,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,25,17,4,7,2,38.4,3.285714286,2
DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,No,Yes,On,Europe,Consumer,Web,No,Yes,52,11,0,5,0,43.16,3.464285714,4
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,94,0,0,0,0,35.97,3.428571429,4
ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,174,37,6,28,2,143.76,26.07142857,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,8,6,3,2,1,199,1027.535714,4
ENG,Limited,INITIAL_PURCHASE,Web,39.5,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,8,2,0,1,0,39.5,3.25,2
ESP,Lifetime,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,0,1040.571429,2
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,3,2,0,1,0,0,13.03571429,4
ESC,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,65.94,10.21428571,4
ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,Off,Other,Consumer,Web,Yes,Yes,316,243,4,120,1,35.97,3.25,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,23,7,5,3,2,199,1027.678571,2
EBR,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,Yes,On,Europe,Consumer,Web,No,Yes,,,,,,35.97,3.392857143,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,3,2,2,1,1,0,13.07142857,4
ITA,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,3,1,0,1,0,35.97,9.785714286,1
ESP,Limited,INITIAL_PURCHASE,Web,38.89,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,19,11,4,7,2,38.89,3.357142857,4
RUS,Limited,INITIAL_PURCHASE,Web,39,USD,No,Yes,Off,Europe,Consumer,Web,No,Yes,79,56,1,38,1,39,3.392857143,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0,6.5,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,6,1,0,1,0,199,1028.178571,2
ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,38,3,0,3,0,65.94,6.571428571,4
ESP,Limited,INITIAL_PURCHASE,Web,34.64,USD,No,No,Off,Other,Other,Unknown,No,No,10,0,0,0,0,34.64,3.25,1
ARA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,2,1,2,1,0,29.39285714,2
FRA,Limited,INITIAL_PURCHASE,Web,119,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,9,0,0,0,0,119,6.607142857,4
RUS,Limited,INITIAL_PURCHASE,Web,143.76,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,143.76,3.357142857,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.178571429,1
CHI,Limited,RENEWAL,Web,79,USD,No,Yes,Off,Europe,Consumer,App,No,Yes,,,,,,79,6.714285714,2
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0,3.285714286,4
GRK,Limited,INITIAL_PURCHASE,Web,71.63,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,71.63,6.535714286,4
FRA,Limited,RENEWAL,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0,35.97,9.785714286,2
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,1,0,1,0,199,1028.642857,1
FRA,Limited,RENEWAL,Web,35.97,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,6,4,0,2,0,35.97,9.892857143,4
ENG,Limited,RENEWAL,Web,79,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,274,243,7,74,1,79,7.464285714,4
ESP,Limited,INITIAL_PURCHASE,Web,143.76,USD,No,No,Off,US/Canada,Other,Web,Yes,Yes,,,,,,143.76,26.10714286,4
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,Yes,Off,Other,Consumer,Web,No,Yes,5,5,0,1,0,189,1028.25,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,54,1,1,1,1,0,13.03571429,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,6.5,4
TUR,Limited,INITIAL_PURCHASE,Web,70.29,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,70.29,26.53571429,4
ALL,Lifetime,INITIAL_PURCHASE,Web,216.11,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,19,13,5,4,1,216.11,1027.964286,2
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,99,2,1,2,1,35.97,3.25,2
ALL,Lifetime,INITIAL_PURCHASE,Web,218.9,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,10,1,0,1,0,218.9,1028.535714,4
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,13,1,0,1,0,189,1028.5,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,9,9,0,2,0,0,16.32142857,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,57,8,8,2,2,199,1027.857143,4
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,,,,,,0,1.142857143,2
JPN,Limited,RENEWAL,Web,79,USD,Yes,No,Off,US/Canada,Consumer,App,No,Yes,10,9,4,2,1,79,9.821428571,2
NED,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,Europe,Consumer,Web,Yes,Yes,34,13,4,6,1,0,16.28571429,4
ENG,Limited,INITIAL_PURCHASE,Web,39,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,78,0,0,0,0,39,3.392857143,4
FRA,Limited,INITIAL_PURCHASE,Web,38.13,USD,No,No,Off,Other,Other,Unknown,No,No,51,2,0,2,0,38.13,3.25,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,Yes,Off,Other,Consumer,Web,Yes,Yes,7,5,0,2,0,0,24.39285714,1
FRA,Lifetime,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0,0,1043.464286,2
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,3.25,4
ESP,Limited,RENEWAL,Web,79,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,141,5,1,5,1,79,9.821428571,2
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,53,8,0,4,0,189,1028.642857,4
FRA,Limited,INITIAL_PURCHASE,Web,37.77,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,37.77,3.285714286,4
ALL,Lifetime,INITIAL_PURCHASE,Web,212.43,USD,No,No,Off,Other,Other,Unknown,No,No,7,2,0,1,0,212.43,1028.321429,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,8,5,0,1,0,35.97,13.17857143,4
NED,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,28,24,17,7,3,35.97,3.357142857,4
ALL,Limited,INITIAL_PURCHASE,Web,99,USD,No,Yes,On,US/Canada,Consumer,Web,No,Yes,2,2,0,1,0,99,13.03571429,4
DEU,Limited,RENEWAL,Web,119,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,1,0,1,0,119,19.57142857,4
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,215,141,0,129,0,0,6.535714286,4
ESP,Limited,INITIAL_PURCHASE,Web,38.81,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,150,1,0,1,0,38.81,3.285714286,2
GRK,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,No,Yes,5,5,0,3,0,0,6.535714286,2
FRA,Limited,INITIAL_PURCHASE,Web,38.25,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,43,3,0,2,0,38.25,3.25,2
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,13.03571429,4
ENG,Limited,RENEWAL,Web,119,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0,119,13.07142857,2
DEU,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,1.071428571,1
ESP,Lifetime,INITIAL_PURCHASE,Web,195.56,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,195.56,1031.464286,2
ESP,Limited,RENEWAL,Web,169,USD,No,No,On,US/Canada,Other,Web,Yes,Yes,,,,,,169,26.10714286,4
DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,12,1,0,1,0,35.97,3.214285714,4
POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,Yes,Off,Other,Consumer,Web,No,Yes,11,3,0,1,0,35.97,3.821428571,1
ENG,Limited,INITIAL_PURCHASE,Web,69.76,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,,,,,,69.76,6.5,4
CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,5,4,0,2,0,65.94,18.03571429,4
